comp_id;comp_name;country;city;level;date;format
WC2024CRO;IAU World Cup;CRO;Tuheljske Toplice;WC;20.7.2024;IR900
CC2024TUH;29th Croatia Cup;CRO;Tuheljske Toplice;IC;21.7.2024;IR900
LT2024LTL2;Outdoor Tournament;CZE;Litultovice;LT;10.8.2024;IR900
ECH2024CRO;15th IAU European Championships;CRO;Zagreb;CCH;1.9.2024;IR900
IC2024EST;Haademeeste Open Championship;EST;Haademeeste;IC;7.9.2024;IR900
NC2024CZE;Czech National Championships;CZE;Suche Lazce;NC;8.9.2024;IR1800
NC2024AUT;Austrian National Championships;AUT;Graschnitz;NC;14.9.2024;IR900
WCF2024CRO;IAU World Cup Finals;CRO;Zagreb;WC;21.9.2024;IR300
LT2024MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;28.9.2024;IR900
LT2025LTL;Outdoor Tournament;CZE;Litultovice;LT;26.4.2025;IR900
LT2025SHL;Outdoor Tournament;CZE;Suche Lazce;LT;24.5.2025;IR900
LT2025ACS;ACSN Cup;AUT;Vienna;LT;25.5.2025;IR1800
NC2025FRA;French National Championships;FRA;Vouel Tergnier;NC;1.6.2025;IR900
LT2025MFS;Frantisek Sedlacek Memorial;CZE;Kostelec na Hane;LT;7.6.2025;IR900
NC2025BEL;Belgian National Championships;BEL;Brugge;NC;14.6.2025;IR900
WC2025CZE;IAU World Cup;CZE;Plumlov;WC;28.6.2025;IR900
MC2025CZE;2nd Moravia Cup;CZE;Plumlov;IC;29.6.2025;IR900
WC2025CRO;IAU World Cup;CRO;Veliko Trgovisce;WC;26.7.2025;IR900
CC2025VTR;30th Croatia Cup;CRO;Veliko Trgovisce;IC;27.7.2025;IR900
LT2025LTL2;Outdoor Tournament;CZE;Litultovice;LT;9.8.2025;IR900
CE2025HUN;Duna Cup;HUN;Dunavarsany;IC;12.8.2025;IR900
WCH2025HUN;23rd IAU World Championships;HUN;Dunavarsany;WCH;17.8.2025;IR900
WCF2025AUT;IAU World Cup Finals;AUT;Vienna;WC;6.9.2025;IR300
NC2025CZE;Czech National Championships;CZE;Otrokovice;NC;13.9.2025;IR1800
LT2025MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;27.9.2025;IR900
NC2025AUT;Austrian National Championships;AUT;Graschnitz;NC;25.10.2025;IR900
WCF2022CRO;IAU World Cup Finals;CRO;Dubrava;WC;9.12.2022;IR300
WCF2018RUS;IAU World Cup Finals;RUS;Oryol;WC;9.12.2018;IR300
