comp_id;comp_name;country;city;level;date;format
BC2003CZE;5th Bohemia Cup;CZE;Otrokovice;IC;3.8.2003;IR1800F
CC2003IVA;8th Croatia Cup;CRO;Ivanic Grad;IC;7.9.2003;IR1800F
IC2004GOT;10. Gotzis Indoor Tournament;AUT;Gotzis;IC;20.3.2004;IR900i
IC2004AUT;Eurocup Innsbruck;AUT;Innsbruck;IC;23.5.2004;IR1800
NC2004FRA;French National Championships;FRA;Parthenay;NC;23.5.2004;IR1800
ENN2004GER;16. Eurocup Ennigerloh;GER;Ennigerloh;IC;31.5.2004;IR1800
CC2004IVA;9th Croatia Cup;CRO;Ivanic Grad;IC;27.6.2004;IR1800F
BC2004CZE;6th Bohemia Cup;CZE;Otrokovice;IC;27.7.2004;IR1800F
WCH2004CZE;12th IAU World Championships;CZE;Otrokovice;WCH;1.8.2004;IR1800F
IC2005GOT;11. Gotzis Indoor Tournament;AUT;Gotzis;IC;5.3.2005;IR900i
IC2005FRA;1er Master Arbalete;FRA;Romainville;IC;1.5.2005;IR900
IC2005AUT;Worldcup Innsbruck;AUT;Innsbruck;IC;7.5.2005;IR1800F
ENN2005GER;17. Eurocup Ennigerloh;GER;Ennigerloh;IC;15.5.2005;IR1800
NC2005FRA;French National Championships;FRA;Nantes;NC;5.6.2005;IR1800
CC2005IVA;10th Croatia Cup;CRO;Ivanic Grad;IC;26.6.2005;IR1800F
CE2005NED;Van Gogh Bokaal;NED;Zundert;IC;10.8.2005;IR900
ECH2005NED;7th IAU European Championships;NED;Zundert;CCH;13.8.2005;IR1800F
NC2005SUI;Swiss National Championships;SUI;First;NC;10.9.2005;IR900
IC2006GOT;12. Gotzis Indoor Tournament;AUT;Gotzis;IC;18.3.2006;IR900i
IC2006FRA;2er Master Arbalete;FRA;Romainville;IC;13.5.2006;IR900
ENN2006GER;18. Eurocup Ennigerloh;GER;Ennigerloh;IC;4.6.2006;IR1800
NC2006FRA;French National Championships;FRA;Maisons-Laffite;NC;18.6.2006;IR1800
CC2006IVA;11th Croatia Cup;CRO;Ivanic Grad;IC;25.6.2006;IR1800F
BC2006CZE;7th Bohemia Cup;CZE;Otrokovice;IC;9.7.2006;IR1800F
NC2006SUI;Swiss National Championships;SUI;First;NC;5.8.2006;IR900
CE2006AUT;Styria Cup;AUT;Steyr;IC;24.8.2006;IR900
WCH2006AUT;13th IAU World Championships;AUT;Steyr;WCH;26.8.2006;IR1800F
IC2006ESB;1st Europa Cup;CRO;Slavonski Brod;IC;12.11.2006;IR1200F
IC2007GOT;13. Gotzis Indoor Tournament;AUT;Gotzis;IC;17.3.2007;IR900i
LT2007SUI;Eroffnungsmatch;SUI;First;LT;6.5.2007;IR900
ENN2007GER;19. Eurocup Ennigerloh;GER;Ennigerloh;IC;27.5.2007;IR1800
