athlete_id;athlete_name;country;club;gender;id_copy;instance
AUT00084;RYLKO Daniel;AUT;-;;AUT00084;1
AUT00085;ARBEN Asani;AUT;-;;AUT00085;1
AUT00086;LAMPERT Florian;AUT;-;;AUT00086;1
AUT00087;MONZ Brigitte;AUT;-;;AUT00087;1
BEL00001;LOUIS Achiel;BEL;-;M;BEL00001;1
BEL00002;VAN QUEKELBERGHE Wilfried;BEL;-;M;BEL00002;1
BEL00003;SCHOLLAERT Carlo;BEL;-;M;BEL00003;1
BEL00004;KUSTERS Karel;BEL;Ver. Vrienden Meer;M;BEL00004;1
BEL00005;HUSTINGS Robert;BEL;-;M;BEL00005;1
BEL00006;VAN DE WIELE Peter;BEL;St. Jan Brugge;M;BEL00006;2
BEL00007;KUSTERS Bart;BEL;-;J;BEL00007;1
BEL00008;VANDERHAEGHEN Jean;BEL;St. Rochus Gent;M;BEL00008;1
BEL00009;KELLER Manfred;BEL;HUZ Leuven;M;BEL00009;1
BEL00010;CRAUWELS Greta;BEL;-;W;BEL00010;1
BEL00011;SMITS Tom;BEL;-;M;BEL00011;1
BEL00012;VANDERHAEGHEN Kristof;BEL;-;M;BEL00012;1
BEL00013;VAN LAER Danny;BEL;-;M;BEL00013;1
BEL00014;HUBERT Neirinck;BEL;St. Jan Brugge;;BEL00014;1
BEL00015;DEN HAESE Danny;BEL;St. Jan Brugge;;BEL00015;1
BEL00016;DE RAEDT Michel;BEL;St. Joris Gent;;BEL00016;1
BEL00017;VANDOOREN Stefaan;BEL;St. Joris Gent;;BEL00017;1
BEL00018;BRACKENIER Danny;BEL;St. Joris Gent;;BEL00018;1
BEL00019;DUMALIN Roland;BEL;St. Jan Brugge;;BEL00019;1
BEL00020;VERSCHUEREN Jeannot;BEL;St. Jan Brugge;;BEL00020;1
BEL00021;CORVELEYN Rudi;BEL;St. Jan Brugge;;BEL00021;1
BEL00022;HOSTYN Wilfried;BEL;St. Jan Brugge;;BEL00022;1
BEL00023;GEUDENS Ronny;BEL;Ver. Vrienden Meer;;BEL00023;1
BEL00024;MARTENS Michel;BEL;Ver. Vrienden Meer;;BEL00024;1
BEL00025;ROELEN Kjell;BEL;St. Joris Wuustwezel;;BEL00025;1
BEL00026;VAN DE WIELE Peter;BEL;St. Rochus Gent;;BEL00026;2
BEL00027;HOSTE Johan;BEL;-;;BEL00027;1
BEL00028;HANQUET Gaston;BEL;-;;BEL00028;1
BEL00029;CLAERMAN Werner;BEL;-;;BEL00029;1
BEL00030;HEMELEERS Willy;BEL;-;;BEL00030;1
BEL00031;DEGRUYTER Dirk;BEL;-;;BEL00031;1
BEL00032;DE RAEDT Wim;BEL;St. Joris Gent;;BEL00032;1
BEL00033;DECOMMER Jean-Pierre;BEL;St. Jan Brugge;;BEL00033;1
BEL00034;MAHY Vincent;BEL;St. Joris Gent;;BEL00034;1
BEL00035;DE GROOTE Marc;BEL;St. Rochus Gent;;BEL00035;1
BEL00036;NEIRINCKX Youri;BEL;AGSND Sablon;;BEL00036;1
BEL00037;NORMANDIE Ricardo;BEL;St. Jan Brugge;;BEL00037;1
BEL00038;ROELS Robert;BEL;St. Jan Brugge;;BEL00038;1
BEL00039;TANGHE Johan;BEL;St. Jan Brugge;;BEL00039;1
BEL00040;VAN BALLAERT Rachel;BEL;St. Joris Wuustwezel;;BEL00040;1
BEL00041;VLAMINCK Gino;BEL;St. Jan Brugge;;BEL00041;1
BFA00001;SOUNGALO Outtara;BFA;-;G;BFA00001;1
BIH00001;MAKAS Amir;BIH;SK Zenica;M;BIH00001;1
BLR00001;BAN Maksim;BLR;-;J;BLR00001;1
BLR00002;ARLOUSKAYA Palina;BLR;-;J;BLR00002;1
BLR00003;CYARGEENKA Dmitry;BLR;-;;BLR00003;1
BLR00004;CHEGODAEVA Mariya;BLR;-;;BLR00004;1
BRA00001;SILVA LOPES Jean;BRA;-;G;BRA00001;1
BUL00001;IVANOV Ivan;BUL;-;G;BUL00001;1
CRO00001;BOROVCAK Damir;CRO;PGSD Zagreb;J;CRO00001;1
CRO00002;LAZIC Zoran;CRO;SK Trnje;M;CRO00002;1
CRO00003;PEREGLIN Branka;CRO;PGSD Zagreb;W;CRO00003;2
CRO00004;KOMAR Sanja;CRO;PGSD Zagreb;W;CRO00004;2
CRO00005;STOJNIC Gorana;CRO;PGSD Zagreb;W;CRO00005;1
CRO00006;LAZIC Ivan;CRO;SK Trnje;J;CRO00006;1
CRO00007;KRIVANEK Nikolina;CRO;SD Dubrava 1094;J;CRO00007;2
CRO00008;HIZAK Ivana;CRO;SK Trnje;J;CRO00008;1
CRO00009;DUH Zeljko;CRO;SK Ivanic;M;CRO00009;1
CRO00010;PEREGLIN Branko;CRO;SD Dubrava 1094;M;CRO00010;1
CRO00011;TIJAN Zeljko;CRO;SSK Dub;M;CRO00011;2
CRO00012;SASKO Milenko;CRO;SK Ivanic;M;CRO00012;1
CRO00013;CIMERMAN Ivan;CRO;SK Ivanic;G;CRO00013;3
CRO00014;POZGAJ Ivana;CRO;SD Dubrava 1094;J;CRO00014;1
CRO00015;BOROZAN Zoran;CRO;PGSD Zagreb;M;CRO00015;3
CRO00016;BELOBRAJDIC Goran;CRO;SK Ivanic;J;CRO00016;2
CRO00017;BUNJEVAC Ivan;CRO;SK Ivanic;J;CRO00017;2
CRO00018;ODLESIC Tihana;CRO;SD Dubrava 1094;J;CRO00018;1
CRO00019;BEZROK Jasmina;CRO;SD Dubrava 1094;J;CRO00019;1
CRO00020;BOSANAC Milena;CRO;SK Pozega;J;CRO00020;1
CRO00021;PEREGLIN Domagoj;CRO;SD Dubrava 1094;J;CRO00021;1
CRO00022;KUJADIN Hrvoje;CRO;SK Ivanic;J;CRO00022;1
CRO00023;BOSANAC Maja;CRO;SK Pozega;J;CRO00023;1
CRO00024;SPOLER Zoran;CRO;GSD Pozega 1871;M;CRO00024;1
CRO00025;KAJFES Marijan;CRO;SD Dubrava 1094;C;CRO00025;1
CRO00026;FICKOVIC Ivana;CRO;SK Pozega;C;CRO00026;1
CRO00027;DORCIC Emanuel;CRO;SSK Dub;C;CRO00027;1
CRO00028;PEREGLIN Valentina;CRO;SD Dubrava 1094;J;CRO00028;1
CRO00029;PAVLETIC Adriano;CRO;SSK Dub;J;CRO00029;1
CRO00030;KRSTINIC Andrej;CRO;SSK Dub;M;CRO00030;1
CRO00031;KOZUMPLIK Valentina;CRO;PGSD Zagreb;C;CRO00031;2
CRO00032;KELECIC Ivan;CRO;PGSD Zagreb;J;CRO00032;3
CRO00033;CVRTILA Antonijo;CRO;SSK Dub;C;CRO00033;1
CRO00034;BEGAJ Donik;CRO;SSK Dub;J;CRO00034;1
CRO00035;KRVARIC Marijan;CRO;SK Pozega;J;CRO00035;1
CRO00036;OBOROVECKI Martin;CRO;SD Veliko Trgovisce;C;CRO00036;1
CRO00037;STRBENAC Luka;CRO;PGSD Zagreb;C;CRO00037;2
CRO00038;BORAK Stjepan;CRO;SD Dubrava 1094;C;CRO00038;1
CRO00039;MOFARDIN Oliver;CRO;SD Dubrava 1094;C;CRO00039;1
CRO00040;BANOVEC Borna;CRO;SD Veliko Trgovisce;C;CRO00040;1
CRO00041;BORAK Ivan;CRO;SD Dubrava 1094;C;CRO00041;1
CRO00042;OBOROVECKI Mihaela;CRO;SD Veliko Trgovisce;J;CRO00042;1
CRO00043;BARTOLOVIC Karla;CRO;SD Veliko Trgovisce;C;CRO00043;1
CRO00044;BLAGEC Petar;CRO;PGSD Zagreb;C;CRO00044;2
CRO00045;NOVOSEL Josip;CRO;SD Strijelac;J;CRO00045;1
CRO00046;POPOVIC-GECAN Iva;CRO;SK Ivanic;J;CRO00046;1
CRO00047;DUMIC Helena;CRO;SK Ivanic;J;CRO00047;2
CRO00048;PETAK Petra;CRO;SD Veliko Trgovisce;J;CRO00048;1
CRO00049;CUK Stela;CRO;SD Veliko Trgovisce;J;CRO00049;1
CRO00050;PENEZIC Ema;CRO;SK Predionica;J;CRO00050;1
CRO00051;BENACIC Daniel;CRO;SD Strijelac;C;CRO00051;2
CRO00052;HAC Pavao;CRO;SD Veliko Trgovisce;C;CRO00052;1
CRO00053;STRBENAC Marija;CRO;SD Dubrava 1094;C;CRO00053;1
CRO00054;BEZROK Filip;CRO;SD Dubrava 1094;C;CRO00054;1
CRO00055;MRNJAVCIC PEREGLIN Valentina;CRO;SD Dubrava 1094;W;CRO00055;1
CRO00056;FORJAN Veronika;CRO;SD Dubrava 1094;C;CRO00056;1
CRO00057;BJELOBRK Lovro;CRO;SSK Dub;C;CRO00057;2
CRO00058;KELECIC Jelena;CRO;SD Dubrava 1094;C;CRO00058;1
CRO00059;BOZIC Ella;CRO;SD Dubrava 1094;J;CRO00059;1
CRO00060;SELJAN Lovro;CRO;SD Veliko Trgovisce;J;CRO00060;1
CRO00061;LAZIC Zorana;CRO;SK Trnje;J;CRO00061;1
CRO00062;ZUPAN Domagoj;CRO;SD Dubrava 1094;J;CRO00062;1
CRO00063;SISCAN Ivana;CRO;SD Pik Vrbovec;J;CRO00063;1
CRO00064;ODLESIC KACAVENDA Tihana;CRO;SD Dubrava 1094;W;CRO00064;1
CRO00065;MILCETIC Martina;CRO;SSK Dub;C;CRO00065;1
CRO00066;GRDISA Maja;CRO;SK Pozega;W;CRO00066;1
CRO00067;BAJSER Borna;CRO;SD Dubrava 1094;C;CRO00067;1
CRO00068;OBOROVECKI Helena;CRO;SD Veliko Trgovisce;J;CRO00068;1
CRO00069;KUCELJ Lovro;CRO;SD Strijelac;C;CRO00069;1
CRO00070;BUNCEC David;CRO;SD Veliko Trgovisce;M;CRO00070;1
CRO00071;JERKOVIC Lorena;CRO;SK Ivanic;W;CRO00071;1
CRO00072;ANTOLIC Dorotea;CRO;SK Predionica;G;CRO00072;1
CRO00073;HOTI Afrdita;CRO;SD Strijelac;G;CRO00073;1
CRO00074;KOBREHEL Kristian;CRO;SSK Dub;G;CRO00074;1
CRO00075;KOSEK Martin;CRO;PGSD Zagreb;G;CRO00075;1
CRO00076;KOSEK Dunja;CRO;PGSD Zagreb;G;CRO00076;1
CRO00077;POLDRUGAC Laura;CRO;SD Dubrava 1094;W;CRO00077;1
CRO00078;SELJAN Patricija;CRO;SD Veliko Trgovisce;G;CRO00078;1
CRO00079;LJUBIC Josip;CRO;SD Strijelac;G;CRO00079;1
CRO00080;GRCIC Nikola;CRO;SK Karlovac;G;CRO00080;1
CRO00081;HORVATIC Branimir;CRO;SD Dubrava 1094;G;CRO00081;1
CRO00082;KASALO Antonia;CRO;SD Dubrava 1094;G;CRO00082;1
CRO00083;SUHINA Filip;CRO;SK Ivanic;G;CRO00083;1
CRO00084;CUKMAN Antonela;CRO;SK Ivanic;G;CRO00084;1
CRO00085;BRKLJACIC Ivana;CRO;-;W;CRO00085;1
CRO00086;MALBASIC Jovan;CRO;GSD Pozega 1871;J;CRO00086;3
CRO00087;TOMLJANOVIC Ivica;CRO;SK Pozega;S;CRO00087;1
CRO00088;STOJNIC Pero;CRO;PGSD Zagreb;M;CRO00088;1
CRO00089;BRKLJACIC Dijana;CRO;-;W;CRO00089;1
CRO00090;DLESK Dejan;CRO;SD Dubrava 1094;M;CRO00090;1
CRO00091;AHMETAGIC Jasmina;CRO;SK Lokomotiva;J;CRO00091;1
CRO00092;BREBRIC Gordan;CRO;SK Ivanic;J;CRO00092;1
CRO00093;KOMADINA Toni;CRO;SSK Dub;J;CRO00093;1
CRO00094;VUCETIC Nediljko;CRO;SSK Dub;M;CRO00094;1
CRO00095;FICKOVIC Evica;CRO;SK Pozega;J;CRO00095;1
CRO00096;ZELIC Zlatko;CRO;SK Pozega;M;CRO00096;1
CRO00097;NENADIC Bogdan;CRO;SSK Dub;M;CRO00097;1
CRO00098;DEVCIC Daniel;CRO;SK Pozega;J;CRO00098;1
CRO00099;DUH Valentino;CRO;SK Ivanic;J;CRO00099;1
CRO00100;RUKAVINA Nikola;CRO;SSK Dub;J;CRO00100;1
CRO00101;VUKELIC Krunoslav;CRO;GSD Pozega 1871;M;CRO00101;1
CRO00102;BURAZER Gabrijel;CRO;SSK Dub;J;CRO00102;1
CRO00103;MESIC Hrvoje;CRO;GSD Pozega 1871;M;CRO00103;1
CRO00104;HRSAK Petra;CRO;SD Veliko Trgovisce;J;CRO00104;1
CRO00105;VLAINIC Josip;CRO;SK Pozega;J;CRO00105;1
CRO00106;ZUPANIC Fran;CRO;SK Predionica;C;CRO00106;1
CRO00107;STEHEC SUSAC Fran;CRO;SK Predionica;C;CRO00107;2
CRO00108;BUKAL Vid;CRO;SK Ivanic;C;CRO00108;1
CRO00109;GASPAROVIC Ema;CRO;SK Ivanic;C;CRO00109;1
CRO00110;TOMIC Marko;CRO;SK Ivanic;C;CRO00110;1
CRO00111;DOMGJONI Leonard;CRO;SD Dubrava 1094;C;CRO00111;1
CRO00112;VUK Patrick;CRO;SD Dubrava 1094;C;CRO00112;1
CRO00113;ROZIC Dalin;CRO;-;;CRO00113;1
CRO00114;GALOIC Darko;CRO;SD Strijelac;;CRO00114;1
CRO00115;HOTI Valentina;CRO;SD Strijelac;;CRO00115;1
CRO00116;POZEGA Igor;CRO;SK Pozega;;CRO00116;2
CRO00117;POZEGA Davor;CRO;SK Pozega;;CRO00117;1
CRO00118;PAVLOVIC Domagoj;CRO;SD Dubrava 1094;;CRO00118;1
CRO00119;KLARIC Gaspar;CRO;SK Pozega;;CRO00119;1
CRO00120;PRSKALO Andelko;CRO;SK Pozega;;CRO00120;1
CRO00121;BRLEK Dino;CRO;SK Ivanic;;CRO00121;1
CRO00122;KUCELJ Antonio;CRO;SD Strijelac;;CRO00122;1
CRO00123;OREMUS Mateja;CRO;SD Strijelac;;CRO00123;1
CRO00124;PEREGLIN Iva;CRO;SK Ivanic;;CRO00124;1
CRO00125;SELJAN Lorena;CRO;SD Veliko Trgovisce;;CRO00125;1
CRO00126;SENJANEC Mikele;CRO;SD Dubrava 1094;;CRO00126;1
CRO00127;MRNAREVIC Mirko;CRO;SD Dubrava 1094;;CRO00127;1
CRO00128;FRITZENSCHAFT Karlo;CRO;SK Pozega;;CRO00128;1
CRO00129;TURK Dragan;CRO;SK Ivanic;;CRO00129;1
CRO00130;FRSTEK Matija;CRO;SK Ivanic;;CRO00130;1
CRO00131;KLAK Marko;CRO;SK Ivanic;;CRO00131;1
CRO00132;FRSTEK Tomislav;CRO;SK Ivanic;;CRO00132;1
CRO00133;MARICEVIC Ivan;CRO;SK Pozega;;CRO00133;1
